scientific_name,family,state,data_sources,flower_Jan,flower_Feb,flower_Mar,flower_Apr,flower_May,flower_Jun,flower_Jul,flower_Aug,flower_Sep,flower_Oct,flower_Nov,flower_Dec,seed_Jan,seed_Feb,seed_Mar,seed_Apr,seed_May,seed_Jun,seed_Jul,seed_Aug,seed_Sep,seed_Oct,seed_Nov,seed_Dec,common_name,Err:508
Abutilon grandifolium (Willd.) Sweet,Malvaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hairy Abutilon, Hairy Indian Mallow",
Abutilon guineense (Schumach.) Baker f. ex Exell,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abutilon halophilum F.Muell. ex Schltdl.,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Salt-loving Lantern-flower,
Abutilon hannii Baker f.,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(No common name found),
Abutilon indicum (L.) Sweet,Malvaceae,Australia,austraits,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,"Indian Mallow, Monkey Bush",
Abutilon indicum subsp. albescens (Miq.) Borss.Waalk.,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Indian Mallow, Monkey Bush",
Abutilon indicum var. australiense Hochr. ex Britten,Malvaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Indian Mallow, Monkey Bush",
Abutilon lepidum (F.Muell.) A.S.Mitch.,Malvaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abutilon leucopetalum (F.Muell.) F.Muell. ex Benth.,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Desert Lantern-flower,
Abutilon macrum F.Muell.,Malvaceae,Australia,austraits,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Abutilon malvifolium (Benth.) J.M.Black,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Mallow-leaved Lantern-flower,
Abutilon micropetalum Benth.,Malvaceae,Australia,austraits,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Small-petalled Lantern-flower,
Abutilon otocarpum F.Muell.,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Desert Lantern-flower,
Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth. var. oxycarpum,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Flannel Weed, Small-flower Lantern-flower",
Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth.,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,"Flannel Weed, Small-flower Lantern-flower",
Abutilon oxycarpum var. incanum (Benth.) J.M.Black,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Flannel Weed, Small-flower Lantern-flower",
Abutilon oxycarpum var. subsagittatum Domin,Malvaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Flannel Weed, Small-flower Lantern-flower",
Abutilon sp. Mataranka (R.M.Barker 877) R.M.Barker,Malvaceae,Australia,austraits,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,(No common name found),
Abutilon theophrasti Medik.,Malvaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Velvetleaf, China Jute",
Abutilon tubulosum (Hook.) Walp.,Malvaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia abbatiana Pedley,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia abbreviata Maslin,Fabaceae,Australia,austraits,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia abrupta Maiden & Blakely,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acanthaster Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acanthoclada F.Muell. subsp. acanthoclada,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrow Wattle,
Acacia acanthoclada F.Muell.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrow Wattle,
Acacia acanthoclada subsp. glaucescens Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harrow Wattle,
Acacia acellerata Maiden & Blakely,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acinacea Lindl.,Fabaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Gold-dust Wattle,
Acacia aciphylla Benth.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acoma Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acradenia F.Muell.,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Velvet Hill Wattle,
Acacia acrionastes Pedley,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acuaria W.Fitzg.,Fabaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aculeatissima J.F.Macbr.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aculeiformis Maslin,Fabaceae,Australia,austraits,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia acuminata Benth.,Fabaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Raspberry Jam Wattle, Jam Wattle",
Acacia acutata W.Fitzg.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adenogonia (Pedley) R.S.Cowan & Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adinophylla Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adjutrices Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adnata F.Muell.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adoxa Pedley var. adoxa,Fabaceae,Australia,austraits,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adoxa Pedley,Fabaceae,Australia,austraits,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adoxa var. subglabra Pedley,Fabaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adsurgens Maiden & Blakely,Fabaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia adunca A.Cunn. ex G.Don,Fabaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wallangarra Wattle,
Acacia aemula Maslin subsp. aemula,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aemula Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aemula subsp. muricata Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aestivalis E.Pritz.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Summer Wattle,
Acacia alata R.Br. var. alata,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winged Wattle,
Acacia alata R.Br.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winged Wattle,
Acacia alata var. biglandulosa Benth.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winged Wattle,
Acacia alata var. platyptera (Lindl.) Meisn.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winged Wattle,
Acacia alata var. tetrantha Maslin,Fabaceae,Australia,austraits,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winged Wattle,
Acacia alaticaulis Kodela & Tindale,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia alcockii Maslin & Whibley,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia alexandri Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia alleniana Maiden,Fabaceae,Australia,austraits,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,(No common name found),
Acacia alpina F.Muell.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia amanda G.J.Leach,Fabaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia amblygona A.Cunn. ex Benth.,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fan Wattle,
Acacia amblyophylla F.Muell.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia amentifera F.Muell.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ammobia Maconochie,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ammophila Pedley,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia amoena H.L.Wendl.,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boomerang Wattle,
Acacia ampliata R.S.Cowan & Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ampliceps Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia amputata Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anarthros Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anasilla A.S.George,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anastema Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anaticeps Tindale,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anceps DC.,Fabaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Port Lincoln Wattle,
Acacia ancistrocarpa Maiden & Blakely,Fabaceae,Australia,austraits,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fitzroy Wattle,
Acacia ancistrophylla C.R.P.Andrews var. ancistrophylla,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ancistrophylla C.R.P.Andrews,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ancistrophylla var. lissophylla (J.M.Black) R.S.Cowan & Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ancistrophylla var. perarcuata R.S.Cowan & Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia andrewsii W.Fitzg.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aneura F.Muell. ex Benth. var. aneura,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Mulga,
Acacia aneura F.Muell. ex Benth.,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Mulga,
Acacia aneura var. major Pedley,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Mulga,
Acacia anfractuosa Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia angusta Maiden & Blakely,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anomala C.A.Gardner ex Court,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia anthochaera Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aphanoclada Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aphylla Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia applanata Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aprepta Pedley,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aprica Maslin & A.R.Chapm.,Fabaceae,Australia,austraits,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aptaneura Maslin & J.E.Reid,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Blue Mulga, Slender Mulga",
Acacia arafurica Tindale & Kodela,Fabaceae,Australia,austraits,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia araneosa Whibley,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Balcanoona Wattle,
Acacia arbiana Pedley,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia arcuatilis R.S.Cowan & Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia areolata M.W.McDonald,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia argutifolia Maslin,Fabaceae,Australia,austraits,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia argyraea Tindale,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia argyrodendron Domin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia argyrophylla Hook.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Silver Mulga,
Acacia argyrotricha Pedley,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia arida Benth.,Fabaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arid Wattle,
Acacia aristulata Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia armillata (Pedley) Pedley,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia armitii F.Muell. ex Maiden,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia arrecta Maslin,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ascendens Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia asepala Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia ashbyae Maslin,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia asparagoides A.Cunn.,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia aspera Lindl. subsp. aspera,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rough Wattle,
Acacia aspera Lindl.,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rough Wattle,
Acacia aspera subsp. parviceps N.G.Walsh,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rough Wattle,
Acacia asperulacea F.Muell.,Fabaceae,Australia,austraits,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,(No common name found),
Acacia assimilis S.Moore subsp. assimilis,Fabaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fine-leaf Wattle,
Acacia assimilis S.Moore,Fabaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Fine-leaf Wattle,
